[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:03] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:04] Motion | User: gauresh.proctorplus@gmail.com | Suspicious movement detected
[2024-11-30 20:05:04] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:04] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:04] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:04] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:04] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:05] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:05] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:05] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:05] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:05] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:05] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:05] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:05] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:05] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:05] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:05] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:05] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:05] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:05] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:06] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:06] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:06] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:06] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:06] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:06] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:06] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:06] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:07] Motion | User: gauresh.proctorplus@gmail.com | Suspicious movement detected
[2024-11-30 20:05:07] Motion | User: gauresh.proctorplus@gmail.com | Suspicious movement detected
[2024-11-30 20:05:10] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:10] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:10] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:10] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:10] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:10] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:10] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:10] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:10] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:10] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:11] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:11] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:11] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:11] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:11] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:11] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:11] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:11] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:11] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:11] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:11] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:11] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:11] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:11] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:12] Motion | User: gauresh.proctorplus@gmail.com | Suspicious movement detected
[2024-11-30 20:05:12] Motion | User: gauresh.proctorplus@gmail.com | Suspicious movement detected
[2024-11-30 20:05:12] Motion | User: gauresh.proctorplus@gmail.com | Suspicious movement detected
[2024-11-30 20:05:13] Motion | User: gauresh.proctorplus@gmail.com | Suspicious movement detected
[2024-11-30 20:05:13] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:13] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:13] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:13] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:13] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:13] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:13] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:13] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:13] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:13] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:13] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:13] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:14] Motion | User: gauresh.proctorplus@gmail.com | Suspicious movement detected
[2024-11-30 20:05:14] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:14] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:14] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:17] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:17] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:17] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:17] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:17] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:17] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:17] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:17] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:17] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:17] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:17] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:17] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:19] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:19] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:19] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:19] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:19] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:19] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:19] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:19] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:19] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:19] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:19] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:19] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:19] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:19] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:19] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:19] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:19] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:19] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:20] Motion | User: gauresh.proctorplus@gmail.com | Suspicious movement detected
[2024-11-30 20:05:20] Motion | User: gauresh.proctorplus@gmail.com | Suspicious movement detected
[2024-11-30 20:05:20] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:21] Motion | User: gauresh.proctorplus@gmail.com | Suspicious movement detected
[2024-11-30 20:05:21] Motion | User: gauresh.proctorplus@gmail.com | Suspicious movement detected
[2024-11-30 20:05:21] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:21] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:21] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:21] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:21] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:22] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:22] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:22] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:22] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:22] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:22] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:22] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:22] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:23] Motion | User: gauresh.proctorplus@gmail.com | Suspicious movement detected
[2024-11-30 20:05:23] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:23] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:23] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:23] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:23] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
[2024-11-30 20:05:24] Audio | User: gauresh.proctorplus@gmail.com | Talking detected
